lig,rec,g1,g2,g3,g4,g5,g6,g7,g8
H_ba,S_H,0.08231,-0.01594,-0.04346,-0.008032,0.07077,0.02594,-0.0421,0.0009066
H_ba,P,-0.04138,-0.05715,-0.06097,0.006052,0.05999,0.1247,0.04007,0.006837
H_ba,U,-0.04721,-0.04349,-0.008421,0.04089,0.0333,0.003864,-0.0776,-0.1322
C,H,0.03336,0.1132,0.06093,-0.07518,-0.04245,0.01804,0.01738,-0.005575
C,H_N,0.01573,0.01941,0.02788,0.0249,-0.06304,-0.04323,0.01289,0.007887
C,H_O,0.02541,-0.008525,-0.01235,-0.02478,-0.01281,0.01021,0.03303,0.01082
C,H_S,-0.01278,0.01506,-0.004176,-0.09198,-0.1036,0.02487,0.07535,4.959e-07
C,H_ba,0.07866,0.09574,0.05192,-0.04205,-0.05378,0.0268,0.08378,-0.04365
C,C,-0.004651,-0.0148,0.04181,-0.01693,-0.05297,-0.09772,0.07152,0.03173
C,C_a,0.04013,0.0423,0.07287,-0.03663,-0.1333,-0.07059,0.08287,0.09126
C,C_SP2,-0.08324,-0.04533,-0.04235,-0.108,-0.06664,0.165,0.2958,0.1068
C,C_SP,-0.001285,-0.0184,0.01217,0.007344,-0.01503,-0.004043,-0.01629,0.03302
C,F,0.01624,-0.01843,-0.02664,-0.03279,0.03008,0.09814,0.09095,0.1083
C,F_ba,0.004234,-0.0358,-0.007762,0.00718,-0.02357,0.01765,0.01004,-0.02323
C,Cl,-0.004148,0.02848,0.0248,0.02868,-0.02899,0.04619,0.1307,0.1747
C,Cl_ba,0.009558,-0.01056,-0.005204,-0.003908,0.01686,-0.009846,0.01496,0.001191
C,Br,-0.01424,-0.006216,-0.004517,-0.04263,-0.05356,0.01247,0.07138,0.1275
C,Br_ba,-0.00503,-0.02008,-0.01248,0.01449,0.001232,-0.007952,0.001816,0.02552
C,I,0.03569,0.01784,0.01995,0.02077,-0.01784,-0.02532,0.01051,0.04815
C,I_ba,-0.001909,-0.009838,-0.0142,-0.01253,0.001448,0.004132,-0.01085,0.0007896
C,N_D,0.003793,-0.03163,-0.002658,-0.01644,-0.03441,-0.006924,-0.002115,0.03461
C,N_a_D,0.03576,0.03477,-0.003511,-0.0799,-0.05622,0.03477,-0.0496,-0.1544
C,N_ba_D,0.0365,-0.01161,-0.04857,-0.06918,-0.06522,0.0473,0.04149,-0.03463
C,Np_D,0.03706,-0.02456,-0.09915,-0.1728,-0.1172,0.1131,0.3067,0.1989
C,N_SP2_D,0.01011,0.01585,-0.01674,-0.004119,-0.01105,-0.01404,0.01874,0.006642
C,N_AMID_D,0.01649,0.04398,0.01291,-0.01234,0.0348,0.02717,0.03165,-0.04926
C,Np_RES_D,0.06102,0.06113,0.05622,-0.03688,-0.07041,-0.0645,-0.0327,-0.02529
